Image_Name;type;Euler_Number_4;Holes_4;Objects_4;Euler_Number_8;Holes_8;Objects_8 
3mm;dendrites;-945;1290;345;-1254;1593;339 
5mm;dendrites;183;138;321;105;213;318 
4mm;dendrites;453;552;1005;3;993;996 
head;dendrites;-6;118;112;-46;157;111 
3mm;only_eutectics;1183;4223;5406;-354;4253;3899 
5mm;only_eutectics;-700;1088;388;-819;1089;270 
4mm;only_eutectics;-93;1610;1517;-542;1613;1071 
head;only_eutectics;-692;938;246;-724;938;214 
3mm;primary_mg;1734;11781;13515;-4051;14805;10754 
5mm;primary_mg;1990;826;2816;1490;1063;2553 
4mm;primary_mg;9050;2770;11820;6847;3730;10577 
head;primary_mg;555;326;881;427;393;820 
3mm;original_segmentation;12779;11585;24364;4505;15301;19806 
5mm;original_segmentation;3466;779;4245;2776;1084;3860 
4mm;original_segmentation;13235;2493;15728;10313;3652;13965 
head;original_segmentation;1593;359;1952;1422;435;1857 
3mm;full_segmentation;416;3882;4298;-1121;5389;4268 
5mm;full_segmentation;858;266;1124;739;384;1123 
4mm;full_segmentation;579;1069;1648;130;1515;1645 
head;full_segmentation;751;210;961;719;242;961 
